	278
conditionally	1
conditions	39
condolences	1
conduce	2
conduced	1
conducive	2
conduct	49
conducted	11
conducting	4
conductor	9
conductors	1
conducts	3
cone	3
confabulations	1
confectioner	1
confederate	2
confederates	1
confer	2
conference	4
conferr^a	1
conferred	2
conferring	1
confers	2
confess	36
confess^a	23
confessed	11
confessedly	1
confesses	1
confessing	5
confession	14
confessor	2
confide	4
confided	3
confidence	34
confidences	1
confident	13
confidential	2
confidently	2
confiding	10
confine	9
confined	16
confinement	10
confines	7
confirm	6
confirm^a	7
confirmation	12
confirmed	25
confirming	4
confirms	4
confiscated	1
conflagration	4
conflict	23
conflicting	5
conform	1
conform^a	1
conformation	1
conformity	1
confound	12
confounded	3
confounding	1
confounds	5
confronted	4
confronting	2
confronts	2
confucians	1
confucius	1
confused	41
confusedly	8
confusing	1
confusion	34
congeal	1
congenial	2
congested	1
conglobing	1
congratulate	9
congratulated	3
congratulating	1
congratulation	2
congratulations	4
congratulatory	2
congregated	2
congreve	2
congruity	1
conjecture	12
conjectured	7
conjectures	2
conjecturing	2
conjoin^a	1
conjoins	1
conjunction	8
conjure	5
conjured	3
conjux	1
connect	4
connected	35
connecting	4
connection	37
connections	12
connexion	2
connoisseur	2
connoisseurs	3
conquer	24
conquer^a	13
conquered	11
conquering	32
conqueror	8
conqueror^a	1
conquers	5
conquest	60
conquests	8
cons'equence	1
conscience	24
conscientious	7
conscientiously	5
conscientiousness	1
conscious	66
consciously	3
consciousness	30
conscription	1
consecrate	2
consecrated	10
consecution	1
consecutive	1
consecutively	1
consent	39
consented	14
consenting	2
consents	3
consequence	49
consequences	10
consequent	5
consequential	6
consequently	29
conservation	1
conservatism	1
conservative	4
consider	88
considerable	28
considerably	9
considerate	2
considerateness	1
consideration	34
considerations	12
considered	72
considering	36
considers	6
consign	1
consign^a	9
consigne	1
consigned	2
consignment	1
consigns	1
consist	7
consisted	11
consistency	7
consistent	8
consistent^a	1
consisting	4
consistory	1
consists	7
consolation	30
consolations	1
consolatory	2
console	16
consoled	1
consoles	2
consoling	4
consonants	1
consort	13
consort^a	3
consorts	1
conspicuous	10
conspicuously	4
conspire	8
constancy	1
constant	35
constantinople	2
constantly	14
constatation	1
consternation	5
constituent	2
constitute	1
constituted	3
constitutes	2
constitution	1
constitutional	1
constrain^a	1
constrained	3
constrains	1
constraint	5
construct	5
constructed	10
constructing	2
construction	7
construe	1
construed	3
consult	12
consultation	7
consultative	1
consulted	7
consulting	6
consults	1
consume	7
consumed	6
consumere	1
consumes	2
consuming	2
consummate	3
consummated	1
consummation	4
consumption	3
consumptive	3
contact	21
contagion	1
contain	21
contain^a	3
contained	7
containing	5
contains	6
contemplate	9
contemplated	9
contemplating	2
contemplation	6
contemporaries	2
contemporary	4
contempt	35
contemptible	2
contemptuous	9
contemptuously	21
contend	23
contended	7
contending	10
contends	3
content	36
content^a	1
contented	16
contenting	1
contention	16
contentions	1
contentious	2
contentment	4
contents	9
contest	11
contested	7
contesting	1
contests	1
contiguous	1
continence	1
contingencies	3
contingency	1
continual	18
continually	80
continuance	1
continuation	4
continue	21
continued	78
continues	17
continuing	5
continuity	1
continuous	2
continuously	1
contortions	1
contract	6
contracted	5
contracting	1
contraction	2
contractions	4
contractor	3
contracts	2
contradict	2
contradicted	1
contradicting	1
contradiction	3
contradictions	4
contradictory	4
contradicts	1
contradistinction	2
contralto	1
contrary	76
contrast	15
contrasted	1
contrasts	1
contravention	1
contribute	3
contributed	6
contributes	1
contributions	8
contrivance	1
contrive	2
contrived	9
contrives	1
contriving	1
control	35
controll^a	3
controlled	3
controlling	3
controls	8
controversy	1
controvert	1
controverted	1
contumacious	1
contumely	2
convalescence	4
convalescents	1
convene	1
convened	5
convenience	4
conveniences	1
convenient	12
conveniently	2
convent	1
conventional	5
conventionality	1
conventionally	1
conversation	294
conversations	14
converse	8
conversed	5
conversible	1
conversing	6
convert	5
converted	2
converting	1
converzationes6	1
convex	2
convey	26
convey^a	13
conveyance	1
conveyed	11
conveying	2
conveys	4
convict	2
convicted	2
conviction	35
convictions	8
convince	8
convinced	74
convinces	1
convincing	2
convincingly	1
convocations	1
convoked	1
convulsed	1
convulsions	3
convulsive	1
convulsively	1
cook	18
cooked	1
cookery	1
cooking	4
cool	21
cool^a	2
cooled	1
cooler	3
cooling	2
coolly	3
coolness	5
coon	2
coop	1
cooped	1
cooper	1
cooperate	1
cooperative	1
cop^et	1
copae	1
cope	2
copied	13
copies	32
copious	12
copper	5
copreus	1
copse	17
copy	47
copying	17
copyist	1
copyists	1
copyright	68
coquetry	2
coquettishness	1
coral	1
cord	16
cordage	1
corday	1
cordelia	3
cordial	14
cordiality	3
cordially	3
cords	1
core	1
corinth	2
corinth^a	1
cork	2
corn	19
cornelius	6
corner	46
corners	3
cornice	2
cornices	2
corone	1
corporation	5
corps	14
corpse	27
correct	21
corrected	9
correction	3
corrections	3
correctly	3
correctness	3
corrects	1
correspond	5
corresponded	2
correspondence	10
correspondent	2
correspondents	1
corresponding	3
corridor	17
corridors	1
corroborated	1
corrupt	12
corruption	4
corruptions	2
corse	39
corses	1
corset	1
corslet	15
corslets	1
corso	1
cos	2
cossacks	1
cost	33
costing	3
costly	11
costs	10
costume	4
cot	3
coterie	3
coteries	1
cotillion	1
cots	1
cottage	52
cottager	1
cottagers	24
cottages	5
cotton	1
cotyius	1
couch	9
couches	1
couching	3
cough	10
coughed	4
coughing	8
coughs	2
could	1482
could^a	1
couldn	28
couldst	2
council	79
councilman	1
councilor	4
councils	8
counsel	29
counsellers	1
counselling	2
counsellor	1
counsellors	1
counsels	44
count	70
counted	8
countenance	59
countenances	9
counter	4
counteracted	1
counterfeit	2
counterpart	1
counterpoise	1
countess	168
counting	28
countinghouse	1
countless	3
countries	10
country	255
country^a	40
countryman	1
countrymen	4
countryside	1
county	3
coup	1
coupar	1
couple	14
couples	6
cour	5
courage	76
courageous	2
courageously	1
courier	5
course	260
coursed	4
courser	15
courser^a	1
coursers	99
coursers^a	1
courses	6
court	63
courted	1
courteous	1
courteously	3
courtesy	7
courtier	1
courting	2
courts	13
courtship	2
courtyard	5
cousin	65
cousins	12
couveuse	1
covenant	2
cover	16
cover^a	15
covered	86
covering	10
coverings	3
coverlet	1
coverlets	1
covers	7
covert	4
coveted	5
covetous	1
covey	1
cow	9
coward	10
coward^a	1
cowardice	7
cowardly	1
cowards	4
cowering	1
cowherd	4
cowhouse	3
cowman	1
cowper	2
cows	19
cozy	2
crack	5
crack^a	1
cracked	11
cracking	4
crackle	1
crackled	2
crackles	1
crackling	13
cracks	2
craggy	4
crags	2
cramped	2
cramps	1
cranae^a	2
cranaus	1
craned	1
cranes	6
cranes^a	1
craning	2
crannies	2
crapathus	1
crash	5
crash^a	3
crashing	4
cratylus	1
cravat	5
cravats	1
craves	2
craving	5
crawled	3
crawling	4
crawls	1
crayon	1
crazy	4
creak	5
creaked	1
creaking	7
creaky	1
cream	9
crease	1
create	15
created	29
creates	2
creating	19
creation	31
creations	3
creator	23
creators	1
creature	82
creatures	36
credible	1
credit	29
creditable	1
creditably	1
credited	1
credulity	3
creeds	2
creek	1
creeping	1
creeps	4
creiontian	1
creon	1
creon^a	1
crept	10
crescent	4
crest	17
crested	3
crestfallen	2
crests	1
creta	1
creta^a	1
cretan	19
cretan^a	1
crete	11
crete^a	2
crethon	1
cretonne	1
crevice	2
crevices	2
crew	23
crib	1
cried	163
cries	66
crime	36
crime^a	1
crimea	1
crimean	1
crimes	18
criminal	15
criminality	1
criminals	2
crimson	16
crimsoned	7
crimsoning	2
cringing	1
crinolines	1
crisis	2
cristiani	1
critheis	3
critic	7
critical	10
criticise	1
criticism	16
criticisms	7
criticize	4
criticized	2
criticizing	2
critics	14
croak	1
croaking	1
crochet	3
crockery	5
crocus	2
crocylia	1
croesmus^a	1
crois	2
cromna	1
cronius	1
crony	1
crook	2
crooked	6
crooking	3
crop	16
cropped	6
crops	7
cropt	1
croquet	9
cross	38
cross^a	4
crossed	31
crosses	2
crossing	19
crossly	2
crossroads	1
crossway	2
crouched	4
croup	1
crowd	81
crowded	22
crowding	7
crowds	17
crowing	1
crown	34
crown^a	65
crowned	1
crowns	10
crows	1
crucible	1
crucifix	1
crude	1
cruel	35
cruelest	1
cruellest	1
cruelly	6
cruelties	1
cruelty	11
crumble	2
crumbled	2
crumbling	3
crumbs	1
crumpled	2
crumpling	1
crunching	1
crusade	2
crush	11
crush^a	8
crushed	20
crushing	2
crust	2
crusted	1
crux	1
cry	40
cry^a	1
crying	22
crystal	10
crystallization	1
crystallized	1
crystallizing	1
cteatus^a	1
cubic	1
cubit	1
cubits	4
cuckoo	3
cucumber	2
cucumbers	4
cuff	4
cuffs	3
cuirass	6
cuishes	3
cull	1
culled	1
culminating	1
culprit	2
culprits	1
cultivate	3
cultivated	14
cultivating	4
cultivation	8
culture	22
cultured	1
cumae	4
cumans	2
cumberland	3
cumbrous	4
cumoea	1
cunning	4
cup	35
cupboard	1
cupboards	4
cupola	1
cups	4
curb	7
curb^a	1
curbed	1
curdles	1
curds	1
cure	8
cured	8
cureless	1
cures	1
curetes	1
curetian	1
curieux	1
curing	1
curiosities	2
curiosity	30
curious	13
curiously	1
curl	2
curl^a	5
curled	3
curling	21
curls	11
curly	16
currant	1
current	16
currents	2
curried	1
curriers	1
curs	1
curse	19
cursed	25
curses	3
cursory	3
curtain	4
curtains	8
curtsey	4
curtseyed	2
curvature	2
curve	5
curved	9
curving	1
cushion	4
custody	1
custom	19
customary	5
customer	1
customs	4
cut	100
cutlass	2
cutlet	2
cuts	8
cutter	1
cutting	13
cuttlefish	3
cybele	1
cycle	1
cyclic	1
cyclus	1
cycnus	1
cyllene	1
cymindis	1
cymodoce	1
cymothoe	1
cynic	1
cynical	1
cynos	1
cynthia	1
cynthia^a	1
cyparissus	1
cyphus	1
cypress	2
cypria	1
cypriad	1
cyprian	5
cytheraea	1
cytorus	1
d	3328
d'elicieux	1
d109	1
d239	1
d298	1
d^a	7
d^ome	1
da	2
dabble	1
dabbled	1
dacier	1
dad	1
daedalean	1
daemon	18
daemons	1
daetor	1
dagger	2
daily	20
dainties	2
daintily	2
dainty	1
daitumones	1
dale	2
dales	1
dam	1
damage	9
damaged	4
damages	16
damasus	1
dame	55
dames	8
dammed	2
damn	6
damnation	1
damned	2
damp	10
dampest	1
damps	2
damsel	1
danae	1
dance	52
danced	23
dancer	2
dancers	2
dances	12
dancing	32
dandified	1
dandled	1
dandy	2
danger	63
dangerous	25
dangerously	3
dangers	19
dangling	1
daniel	3
dank	1
danni	1
dans	4
dante	4
dappled	1
dar^a	4
darcy	194
dardan	21
dardan^a	1
dardania^a	1
dardanian	1
dardans	5
dardanus	5
dare	89
dared	44
dares	36
darest	5
daring	39
dark	108
darken	2
darken^a	3
darkened	3
darkening	7
darkens	3
darker	1
darkly	5
darkness	59
darkness^a	1
darksome	2
darling	43
darmstadt	3
darned	1
darns	1
dart	84
darted	20
darting	5
darts	53
darya	209
daryalov	2
das	2
dash	2
dash^a	8
dashed	6
dashing	5
dastard	6
dastards	2
data	9
date	35
dated	3
dates	3
dating	1
daudet	1
daughter	164
daughter^a	3
daughters	67
daughters^a	1
daulis	1
daunt	1
dauntless	21
daunus	1
david	3
dawdled	1
dawn	20
dawned	4
dawning	5
dawns	2
day	749
day^a	3
daybreak	3
daydream	1
daydreams	6
daylight	4
days	248
days^a	2
daytime	1
dazed	1
dazzle	1
dazzled	6
dazzling	14
de	86
deacon	16
dead	235
deaden^a	1
deadly	21
deaf	6
deafening	2
deal	80
dealing	9
deals	2
dealt	4
dear	239
dearer	16
dearest	41
dearly	9
death	363
death^a	9
deathbed	3
deathful	6
deathless	7
deathlike	3
deaths	13
debar	1
debarred	1
debasing	1
debate	30
debates	6
debating	1
debauchery	1
debil	1
debilitated	1
debility	2
debt	11
debts	16
decades	1
decanter	5
decanters	2
decay	9
decay^a	3
decayed	2
decaying	2
decays	2
decease	1
deceased	2
deceit	19
deceitful	3
deceitfulness	2
deceits	1
deceiv^a	1
deceive	14
deceived	30
deceives	3
deceiving	14
december	2
decembrist	1
decent	20
deception	11
deceptions	1
decide	43
decided	53
decidedly	6
decides	1
deciding	9
decipher	1
decision	30
decisive	12
decisive^a	1
decisively	1
deck	15
deck^a	3
decked	5
decks	5
declaimed	2
declamatory	1
declaration	8
declare	23
declared	18
declares	11
declaring	7
decline	16
declined	19
declines	1
declining	2
declivity	3
decorate	1
decorated	4
decorating	1
decoration	2
decorations	1
decorum	10
decorums	1
decrease	1
decreased	4
decreasing	1
decree	24
decree^a	1
decreed	17
decrees	12
decursio	1
dedicate	2
dedicated	4
dedicates	2
deduce	2
deduced	4
deducing	2
deductible	4
deduction	1
deductions	2
deed	37
deedless	3
deeds	33
deem	8
deem^a	4
deemed	7
deems	1
deep	161
deepening	1
deepens	1
deeper	14
deepest	4
deeply	41
deeps	21
deer	7
deface	1
defaced	3
defame	2
default	1
defeat	5
defeated	5
defect	22
defection	1
defective	15
defects	21
defence	21
defences	1
defend	39
defend^a	1
defended	15
defender	5
defenders	1
defending	13
defends	11
defense	7
defensive	4
defer	5
deference	8
deferential	3
deferentially	4
deferr^a	1
deferred	3
deferring	1
defiance	4
defiant	2
deficiency	2
deficient	5
deficit	1
defied	12
defies	6
defiled	2
define	10
defined	15
defines	1
definite	26
definitely	8
definiteness	5
definition	1
definitions	1
definitively	1
deflections	1
deform	1
deform^a	5
deformed	4
deformities	1
deformity	8
deforms	3
defraud	1
defrauded	3
defrauding	1
defrauds	4
deft	2
deftly	1
defy	4
defying	1
degeneracy	1
degenerate	5
degenerated	2
degenerates	1
degenerating	2
degradation	3
degrade	1
degraded	3
degrading	6
degree	63
degrees	17
deicoon^a	1
deign^a	1
deigned	3
deigning	1
deigns	1
deiochus	1
deiopeia	1
deiopis	1
deiphobus	19
deipylus	1
deipyrus	4
deities	11
deity	9
dejected	8
dejectedly	2
dejection	5
del	2
delay	35
delay^a	1
delayed	10
delays	2
delegates	3
deletions	4
delian	1
deliberate	12
deliberately	16
deliberating	3
deliberation	4
delicacies	2
delicacy	23
delicate	25
delicious	13
deliciously	1
delight	104
delighted	91
delightful	67
delightfully	5
delighting	2
delights	13
delineate	1
delinquent	1
delirious	3
delirium	9
delitsch	1
deliver	6
deliver^a	1
deliverance	1
delivered	10
deliverer	7
delivering	4
delivery	5
delos	1
delphis	1
deltos	1
delude	2
deluded	2
deludes	1
deluding	1
deluge	9
deluged	5
deluges	1
delusion	2
demain	1
demand	41
demande	1
demanded	10
demanding	1
demands	38
demean	1
demeanour	3
dementat	1
demi	3
demin	1
democoon	1
demodocus	1
demodokus	1
demoleon	1
demolish	1
demon	1
demoniacal	3
demonstrate	1
demonstrating	1
demonstrations	1
demuchus	1
demur	1
den	7
denial	6
denied	16
denies	13
denisitch	2
denny	7
denominated	1
denote	1
denoted	1
denotes	1
denounce	1
denounced	2
denouncing	2
dens	4
dense	3
densely	1
density	1
dental	1
deny	21
denying	4
deo	2
depart	20
departed	23
departing	1
department	32
departments	1
departs	3
departure	46
departures	1
depend	21
depended	14
dependence	5
dependent	6
depending	2
depends	17
depict	1
depicted	1
depictured	1
deplorable	2
deplore	9
deplored	9
depopulate	1
depopulates	1
deportment	4
deposed	2
deposited	1
depositing	1
deposition	3
depr'e	1
deprave'e	1
depraved	3
depravity	1
deprecate	2
deprecating	2
depress^a	4
depressed	14
depressing	3
depression	5
deprive	5
deprived	29
deprives	2
depriving	1
depth	10
depths	11
deputation	5
deputations	1
deputed	3
deputes	1
deputy	4
der	1
derange	1
deranged	2
derangement	1
derby	1
derbyshire	6
deride	1
derides	2
derision	2
deriv^a	1
derivative	12
derive	8
derived	20
derives	4
deriving	1
derni`ere	1
dernier	2
derogated	1
derogatory	2
des	5
descend	45
descendant	3
descendants	2
descended	16
descending	40
descends	48
descent	11
describe	26
described	45
describes	2
describing	8
descried	6
descries	5
description	24
descriptions	9
descriptive	2
descry	1
desecrate	1
desecrating	1
desert	35
deserted	18
deserters	1
deserting	2
desertion	4
deserts	13
deserv^a	2
deserve	24
deserved	15
deservedly	1
deserves	6
deserving	6
design	47
design^a	13
designating	1
designation	1
designed	3
designedly	2
designing	2
designs	8
desirable	9
desire	128
desired	47
desires	30
desiring	10
desirous	8
desist	7
desists	1
desk	3
desolate	11
desolated	3
desolating	1
desolation	7
despair	126
despaired	2
despairing	10
despatch	3
despatch^a	9
despatched	3
desperate	19
desperately	5
desperation	3
despicable	3
despise	17
despised	13
despises	6
despising	6
despite	8
despoil	7
despoil^a	1
despoiled	1
despond	1
despondence	2
despondency	8
despondent	3
despondently	1
desponding	4
despotisms	1
dessous	2
dessus	1
destin^a	1
destination	4
destinations	1
destined	40
destinies	5
destiny	18
destitute	3
destrier	1
destroy	57
destroy^a	4
destroyed	29
destroyer	11
destroying	9
destroys	2
destruction	50
destructive	11
detach	4
detached	1
detail	30
detailed	2
details	53
detain	12
detain^a	5
detained	9
detaining	3
detains	9
detect	2
detected	19
detecting	4
detection	5
deteriorating	1
determinate	1
determination	19
determine	16
determined	54
determines	1
determining	5
deterred	1
deters	1
detest	7
detestable	3
detestation	3
detested	10
detests	1
dethrone	1
detract	2
detraction	1
detracts	2
detriment	1
detrimental	1
deucalion	3
develop	3
developed	9
developing	1
development	25
developments	1
devenu	1
deviated	1
deviating	2
deviation	1
device	2
devices	3
devil	23
devilish	2
devils	3
devious	1
devising	1
devoid	5
devoir	1
devolve	1
devolved	1
devolves	1
devote	7
devoted	35
devotedness	1
devotes	1
devoting	2
devotion	12
devotions	1
devour	5
devoured	1
devouring	8
devours	4
devout	1
devoutly	2
dew	13
dews	10
dewy	6
dexamene	1
dexter	2
dexterous	6
dexterously	1
di	6
di^a	1
dia	1
diable	1
diabolical	1
diabolically	1
diadem	1
diaegaemasi	1
diagonally	1
dialect	2
dialects	3
dialogue	2
diamond	1
diamonds	1
dian	2
diana	9
diana^a	4
diary	3
dickens	1
dictate	2
dictated	5
dictates	7
dictating	1
dictatorial	1
diction	6
dictionary	1
dictum	1
did	1188
didactics	1
didn	103
dido	4
didst	7
die	112
died	82
dier	1
dies	24
diest	1
diet	3
differ	2
differed	5
difference	37
differences	4
different	151
differently	23
differing	2
differs	2
difficult	65
difficulties	25
difficulty	64
diffidence	3
diffident	2
diffidently	1
diffused	6
diffuseness	1
diffusing	2
dig	1
digamma	2
digest	1
digested	1
digestion	1
digestive	2
digging	1
dignified	7
dignitaries	1
dignitary	1
dignity	34
digression	1
digressions	1
dilapidated	1
dilated	2
dilatoriness	1
dilatory	1
dilemma	1
dilettanti	2
diligence	6
diligences	1
diligently	3
dim	14
dimensions	1
dimer	1
diminish	2
diminish^a	1
diminished	1
dimly	2
dimm^a	1
dimmed	3
dimming	1
dimples	3
dims	1
din	2
dine	27
dined	12
dines	1
ding	1
dining	54
dinner	173
dinners	8
diocleus	2
diodorus	1
diogenes	2
diomed	45
diomed^a	1
diomede	3
diomedes	1
dion	1
dione	1
dionys	1
dionysius	1
dionysus	1
diores	2
dios	1
dip	2
diphthera	1
diphthongs	1
diplomacy	1
diplomat	3
diplomatic	6
dipp^a	1
dipper	3
dippers	2
dipping	1
dire	57
direct	47
directed	31
directing	5
direction	46
directions	22
directly	88
directness	2
director	13
directors	2
directs	17
direful	10
dirge	1
dirt	7
dirtiness	1
dirty	21
disabilities	1
disabled	5
disadvantage	2
disadvantageous	1
disadvantages	2
disagree	2
disagreeable	47
disagreeably	1
disagreed	1
disagreement	4
disagreements	1
disappear	5
disappeared	20
disappearing	1
disappears	1
disappoint	3
disappointed	14
disappointing	3
disappointment	20
disappointments	2
disappoints	2
disapprobation	6
disapproval	2
disapprove	3
disapproved	2
disapproves	1
disapproving	1
disapprovingly	6
disarm	1
disarm^a	4
disarms	1
disarranging	1
disarray	2
disaster	7
disasters	2
disastrous	3
disbelief	5
disbelieve	2
disbelieved	1
disbelieving	1
discarded	1
discern	6
discern^a	1
discerned	6
discernible	2
discerning	4
discernment	2
discharge	3
discharged	13
discharging	1
disciple	3
discipline	4
disclaim	8
disclaimed	2
disclaimer	12
disclaimers	4
disclaiming	1
disclose	7
disclosed	5
discomfit	1
discomfort	3
discomforting	2
discompose	1
discomposed	1
discomposure	1
disconcert	1
disconcerted	12
disconcerting	1
disconnected	2
disconnectedly	1
disconnectedness	1
disconsolate	5
disconsolately	1
discontent	3
discontented	4
discontentedly	3
discontinue	4
discord	12
discord^a	1
discordant	1
discount	1
discourage	2
discouraged	4
discourse	13
discourses	2
discover	34
discoverable	1
discovered	55
discoverers	1
discoveries	10
discovering	4
discovers	1
discovery	30
discreet	4
discreetly	5
discrepancy	1
discretion	6
discrimination	1
discus	2
discuss	11
discussed	4
discussing	6
discussion	36
discussions	8
disdain	27
disdain^a	4
disdained	1
disdainful	6
disdains	2
disease	5
diseased	1
diseases	2
disembogues	1
disenchantment	1
disencumbered	1
disengage	1
disengaged	4
disengaging	1
disent	1
disentangle	1
disfigure	1
disfigured	1
disgorges	1
disgrace	33
disgraced	9
disgraceful	9
disgracing	3
disguise	6
disguised	5
disguises	1
disgust	17
disgusted	5
disgusting	14
dish	9
disheartens	1
dishes	5
disheveled	2
dishevell^a	4
dishonest	17
dishonesty	2
dishonorable	8
dishonour	1
dishonour^a	8
dishonoured	1
disillusion	1
disinclination	3
disinclined	6
disinterested	3
disinterestedness	1
disjointed	5
disk	9
dislike	28
disliked	36
dislikes	2
disliking	1
dismal	5
dismally	1
dismay	26
dismay^a	5
dismayed	5
dismember^a	1
dismiss	11
dismiss^a	6
dismissal	1
dismissals	1
dismissed	6
dismissing	3
dismission	1
dismount	1
dismounted	1
disobedience	1
disobedient	1
disobey	1
disobey^a	1
disobliging	1
disons	1
disorder	5
disorder^a	4
disorderly	1
disorganized	1
disown	1
disowned	2
dispatched	4
dispel	7
dispelled	1
dispelling	2
dispels	1
dispensaries	2
dispensary	2
dispensations	1
dispense	1
dispensed	1
dispensing	2
disperse	3
dispersed	10
dispersing	3
dispirit	1
display	15
display^a	17
displayed	7
displaying	19
displays	8
displease	1
displeased	20
displeasure	10
disposal	5
dispose	10
disposed	29
disposer	1
disposes	2
disposing	1
disposition	27
dispositions	8
disproportionate	1
disproving	2
disputants	1
dispute	16
disputed	5
disputes	7
disputing	7
disqualification	1
disquiet	2
disquieted	1
disquisition	2
disquisitions	3
disregard	2
disregarded	3
disreputable	3
disrespect	3
disrespectful	1
disrespectfully	2
disrobes	1
dissatisfaction	20
dissatisfied	18
dissect	1
dissected	1
dissecting	1
dissemble	1
dissembled	3
dissension	1
dissent	2
dissenting	1
dissertation	1
disservice	1
dissipate	7
dissipated	6
dissipates	1
dissipating	1
dissoluble	1
dissolute	2
dissolve	2
dissolved	3
dissolving	4
dissuade	5
distain^a	7
distance	65
distanced	1
distances	1
distant	85
distaste	3
distasteful	15
distemper	1
distemper^a	1
distend	1
distended	1
distil	2
distill^a	5
distilling	3
distils	2
distinct	28
distinction	18
distinctions	3
distinctive	2
distinctly	38
distinctness	4
distinguish	16
distinguish^a	8
distinguished	33
distinguishes	3
distinguishing	7
distort	2
distorted	7
distortion	1
distract	7
distracted	14
distractedly	1
distracting	5
distraction	3
distractions	2
distracts	1
distraught	3
distress	39
distress^a	9
distressed	14
distressful	2
distressing	5
distribute	25
distributed	21
distributes	1
distributing	31
distribution	26
distributor	4
distributors	1
district	49
districts	4
distrust	2
distrusted	1
disturb	14
disturb^a	1
disturbance	3
disturbed	24
disturbing	3
disturbs	2
disunion	1
disunite	1
ditch	11
ditches	1
dius	1
diva	1
divan	1
dive	2
divergences	1
diverging	1
divers	2
diverse	6
diversified	3
diversion	5
diversity	2
divert	4
diverted	4
diverting	2
diverts	1
divests	1
divide	34
divided	29
divides	20
dividing	5
divine	154
divined	4
divinely	11
divinest	1
divining	3
divinity	7
division	15
divorce	92
divorced	7
divorces	2
divulged	1
dix	1
dixa	1
dizzy	3
dmitri	1
dmitrich	1
dmitrievitch	49
dmitrievna	3
do	1207
doch	1
dochots	1
docile	2
dock	1
doctor	152
doctored	2
doctoring	4
doctors	12
doctrine	10
doctrines	3
document	1
documents	3
dodged	1
dodona	1
dodona^a	1
dodonaean	1
does	194
doesn	57
dog	34
dogcarts	1
dogged	2
doggedly	1
dogmas	1
dogmatism	1
dogs	62
doing	159
doings	4
dolci	1
doleful	2
dolgovushin	1
doling	1
dolinka	2
doll	5
dolls	2
dolly	307
dolon	9
dolon^a	2
dolopes	1
dolopia	1
dolopians	1
dolopion^a	1
dolops	3
dolops^a	1
dolours	1
dolphin	1
dolphins	1
domain	25
domains	1
dome	21
domes	7
domestic	19
dominion	5
dominions	3
domitian	1
don	554
donate	18
donation	4
donations	60
done	296
donne	1
donnez	1
donors	4
doom	27
doom^a	26
doomed	6
dooms	7
door	228
doorkeeper	4
doors	26
doorway	29
dorians	1
doric	1
dorion	1
doris	2
dormant	1
dorus	2
doryclus	1
dose	3
dost	11
dotards	1
doted	2
doth	4
doting	2
doto	1
dotted	2
double	36
doubled	5
doubling	5
doubly	4
doubt	127
doubted	14
doubtful	31
doubtfully	1
doubting	3
doubtless	10
doubts	26
dough	2
dove	9
dovelike	1
doves	5
dower	3
down	615
downcast	4
downhill	2
downloading	4
downpour	2
downs	3
downstairs	16
downward	2
downwards	3
downy	3
dowry	1
doxei	1
doze	1
dozed	1
dozen	9
dozens	2
dozing	6
dr	9
drabanti	1
dracius	1
drag	13
dragg^a	10
dragged	5
dragging	7
dragon	1
dragon^a	1
dragons	1
drags	8
draht	1
drain	3
dram	3
drama	1
drama^a	1
dramas	1
dramatic	4
dramatis	1
dramatised	1
drance	1
drank	21
draper	1
drauf	1
draught	8
draughts	4
draw	49
drawback	1
drawbacks	1
drawer	4
drawers	2
drawing	132
drawings	1
drawling	3
drawn	36
draws	25
dray	2
dread	73
dreaded	17
dreadful	137
dreadfully	11
dreading	3
dreads	7
dream	62
dream^a	1
dreamed	11
dreamily	5
dreaming	11
dreams	34
dreamt	2
dreamy	2
drear	2
dreariest	1
dreariness	1
dreary	18
dregs	3
drench	4
drench^a	5
drenched	8
drenching	2
dress	98
dress^a	11
dressed	48
dresser	2
dresses	17
dressing	34
dressmaker	2
dresus	1
drew	159
dried	10
dries	3
drift	3
drifted	2
drifting	3
drifts	3
drill	1
drills	1
drink	65
drinking	38
drinks	7
drip	3
drive	81
driven	56
driver	13
driver^a	2
drivers	5
drives	34
drivest	1
driving	41
droll	3
drone	1
drones	1
droop	2
droop^a	1
drooped	2
drooping	8
drop	33
dropp^a	19
dropped	53
dropping	20
drops	40
dross	1
drove	126
droves	1
drovest	1
drown	7
drown^a	6
drowned	6
drowning	2
drowns	2
drowsy	1
drudgery	1
drudging	1
drug	1
drugstores	1
drum	1
drunk	29
drunkard	2
drunkards	1
drunken	4
drunkenness	2
dry	39
dryad	1
dryas	1
dryden	6
dryden^a	29
drying	5
dryly	4
dryness	1
dryops	1
dschungariade	1
du	6
dubious	5
dubois	1
duc	1
duchess	6
duci	1
ducis	1
duck	1
ducks	4
ductile	3
ductility	1
due	64
duel	17
dueling	2
dues	1
duets	2
duke	1
dulichium	1
dull	41
dullest	2
dulls	1
dulness	2
duly	4
dumb	2
dumbbells	2
dun	1
dung	7
dungeon	6
dungeons	2
dunque	1
dunyasha	3
duped	1
duplicity	2
duport	3
durable	1
duration	4
durchlaucht	2
during	179
durst	11
dusk	3
dusky	17
dussots	3
dust	128
dustmen	1
dusty	22
dutch	4
duteous	1
duties	53
dutiful	1
dutifully	1
duty	75
duvillard	1
dwell	16
dwell^a	3
dwellers	1
dwelling	15
dwellings	1
dwells	3
dwelt	10
dyce^a	7
dye	7
dyed	11
dyes	3
dying	74
dymas	1
dynamene	1
dynameter	1
dysparis	1
e	132
e^a	35
ea	1
each	430
eager	59
